NEVO-versie/Nevo-version|NEVO-code|Voedingsmiddelnaam|Food name|Ingr_NEVO-code|Ingr_Voedingsmiddel|Ingr_Food|Ingr_relatieve_hoeveelheid/Ingr_relative_amount
NEVO-Online 2021 7.0|2503|Yoghurt Griekse volle|Yoghurt Greek full fat|278|Yoghurt volle|Yoghurt full fat|78,0
NEVO-Online 2021 7.0|2503|Yoghurt Griekse volle|Yoghurt Greek full fat|299|Room slag- onbereid|Cream whipping unprepared|22,0
NEVO-Online 2021 7.0|2504|Kwark vruchten- volle|Quark full fat w fruit|917|Kwark vruchten- halfvolle|Quark half fat w fruit|85,0
NEVO-Online 2021 7.0|2504|Kwark vruchten- volle|Quark full fat w fruit|377|Suiker kristal-|Sugar granulated|3,0
NEVO-Online 2021 7.0|2504|Kwark vruchten- volle|Quark full fat w fruit|299|Room slag- onbereid|Cream whipping unprepared|12,0
NEVO-Online 2021 7.0|2505|Fruit gedroogd op brandewijn|Fruit dried in brandy|33|Rozijnen gedroogd|Raisins dried|7,0
NEVO-Online 2021 7.0|2505|Fruit gedroogd op brandewijn|Fruit dried in brandy|175|Abrikozen gedroogd|Apricots dried|7,0
NEVO-Online 2021 7.0|2505|Fruit gedroogd op brandewijn|Fruit dried in brandy|163|Kersen|Cherries|7,0
NEVO-Online 2021 7.0|2505|Fruit gedroogd op brandewijn|Fruit dried in brandy|391|Brandewijn|Brandy|37,0
NEVO-Online 2021 7.0|2505|Fruit gedroogd op brandewijn|Fruit dried in brandy|1885|Water gem|Water av|24,7
