NEVO-versie/Nevo-version|NEVO-code|Voedingsmiddelnaam|Food name|Ingr_NEVO-code|Ingr_Voedingsmiddel|Ingr_Food|Ingr_relatieve_hoeveelheid/Ingr_relative_amount
NEVO-Online 2021 7.0|2678|Zuivelspread naturel/kruiden|Dairy spread plain/herbs|279|Melk volle|Milk whole|46,0
NEVO-Online 2021 7.0|2679|Zuivelspread naturel/kruiden light|Dairy spread plain/herbs light|1489|Kaas verse light 8% vet|Cheese fresh light 8% fat|50,0
NEVO-Online 2021 7.0|2679|Zuivelspread naturel/kruiden light|Dairy spread plain/herbs light|279|Melk volle|Milk whole|30,0
NEVO-Online 2021 7.0|2679|Zuivelspread naturel/kruiden light|Dairy spread plain/herbs light|299|Room slag- onbereid|Cream whipping unprepared|20,0
NEVO-Online 2021 7.0|2682|Rijst meergranen- gekookt|Rice multi-grain boiled|1885|Water gem|Water av|60,0
NEVO-Online 2021 7.0|2682|Rijst meergranen- gekookt|Rice multi-grain boiled|2049|Rijst meergranen- rauw|Rice multi-grain raw|40,0
NEVO-Online 2021 7.0|2683|Ontbijtproduct Coco pops Chocos Kellogg's|Breakfast cereal Coco pops Chocos Kellogg's|222|Meel volkoren tarwe-|Flour wheat wholemeal|64,0
NEVO-Online 2021 7.0|2683|Ontbijtproduct Coco pops Chocos Kellogg's|Breakfast cereal Coco pops Chocos Kellogg's|430|Cacaopoeder|Cocoa powder|6,0
NEVO-Online 2021 7.0|2683|Ontbijtproduct Coco pops Chocos Kellogg's|Breakfast cereal Coco pops Chocos Kellogg's|377|Suiker kristal-|Sugar granulated|29,0
NEVO-Online 2021 7.0|2683|Ontbijtproduct Coco pops Chocos Kellogg's|Breakfast cereal Coco pops Chocos Kellogg's|2819|Zout z toegevoegd jodium|Salt not fortified w iodine|1,0
NEVO-Online 2021 7.0|2684|Ontbijtproduct Special K chocolade Kellogg's|Breakfast cereal Spec K choc Kellogg's|432|Chocolade puur|Chocolate dark|7,4
NEVO-Online 2021 7.0|2684|Ontbijtproduct Special K chocolade Kellogg's|Breakfast cereal Spec K choc Kellogg's|431|Chocolade melk-|Chocolate milk|7,4
NEVO-Online 2021 7.0|2684|Ontbijtproduct Special K chocolade Kellogg's|Breakfast cereal Spec K choc Kellogg's|5|Rijst witte rauw|Rice white raw|41,1
NEVO-Online 2021 7.0|2684|Ontbijtproduct Special K chocolade Kellogg's|Breakfast cereal Spec K choc Kellogg's|222|Meel volkoren tarwe-|Flour wheat wholemeal|32,6
NEVO-Online 2021 7.0|2684|Ontbijtproduct Special K chocolade Kellogg's|Breakfast cereal Spec K choc Kellogg's|2819|Zout z toegevoegd jodium|Salt not fortified w iodine|1,1
NEVO-Online 2021 7.0|2684|Ontbijtproduct Special K chocolade Kellogg's|Breakfast cereal Spec K choc Kellogg's|377|Suiker kristal-|Sugar granulated|10,5
NEVO-Online 2021 7.0|2685|Abrikozen gedroogd geweekt|Abricots dried and soaked|175|Abrikozen gedroogd|Apricots dried|56,0
NEVO-Online 2021 7.0|2685|Abrikozen gedroogd geweekt|Abricots dried and soaked|1885|Water gem|Water av|44,0
NEVO-Online 2021 7.0|2686|Appelmoes z suiker m zoetstof blik/glas|Apple sauce wo sugar w sweetener tinned|1182|Appelmoes z suiker blik/glas|Apple sauce wo sugar tinned|89,0
NEVO-Online 2021 7.0|2686|Appelmoes z suiker m zoetstof blik/glas|Apple sauce wo sugar w sweetener tinned|1885|Water gem|Water av|11,0
NEVO-Online 2021 7.0|2687|Kruidnoten m chocolade puur|Biscuit spiced small Kruidnoten w dark choc|5146|Kruidnoten|Biscuit spiced small Kruidnoten|55,0
NEVO-Online 2021 7.0|2687|Kruidnoten m chocolade puur|Biscuit spiced small Kruidnoten w dark choc|432|Chocolade puur|Chocolate dark|45,0
NEVO-Online 2021 7.0|2688|Kruidnoten m chocolade melk-|Biscuit spiced small Kruidnoten w milk choc|5146|Kruidnoten|Biscuit spiced small Kruidnoten|55,0
NEVO-Online 2021 7.0|2688|Kruidnoten m chocolade melk-|Biscuit spiced small Kruidnoten w milk choc|431|Chocolade melk-|Chocolate milk|45,0
NEVO-Online 2021 7.0|2696|Koekje bitter-|Biscuit Dutch Amaretti Bitterkoekjes|377|Suiker kristal-|Sugar granulated|66,2
NEVO-Online 2021 7.0|2696|Koekje bitter-|Biscuit Dutch Amaretti Bitterkoekjes|358|Eiwit kippenei rauw|Egg white chicken raw|3,9
NEVO-Online 2021 7.0|2696|Koekje bitter-|Biscuit Dutch Amaretti Bitterkoekjes|5175|Bonen witte gekookt|Beans white boiled|14,9
NEVO-Online 2021 7.0|2696|Koekje bitter-|Biscuit Dutch Amaretti Bitterkoekjes|198|Noten amandelen z vliesje ongezouten|Almonds blanched unsalted|14,9
NEVO-Online 2021 7.0|2696|Koekje bitter-|Biscuit Dutch Amaretti Bitterkoekjes|80|Bloem rijste-|Flour rice|0,1
NEVO-Online 2021 7.0|2698|Cake chocolade- z roomboter|Cake chocolate made wo butter|375|Suiker basterd- witte|Sugar castor white|9,0
NEVO-Online 2021 7.0|2698|Cake chocolade- z roomboter|Cake chocolate made wo butter|253|Cake z roomboter|Cake wo butter|87,0
NEVO-Online 2021 7.0|2698|Cake chocolade- z roomboter|Cake chocolate made wo butter|430|Cacaopoeder|Cocoa powder|4,0
NEVO-Online 2021 7.0|2701|Kruidnoten m chocolade witte|Biscuit spiced small Kruidnoten w white choc|5146|Kruidnoten|Biscuit spiced small Kruidnoten|55,0
NEVO-Online 2021 7.0|2701|Kruidnoten m chocolade witte|Biscuit spiced small Kruidnoten w white choc|2266|Chocolade witte|Chocolate white|45,0
NEVO-Online 2021 7.0|2703|Brood volkoren- gem m diverse zaden|Bread wholemeal av w seeds|246|Brood volkoren- gem v fijn en grof|Bread wholemeal av fine and coarse|88,0
NEVO-Online 2021 7.0|2703|Brood volkoren- gem m diverse zaden|Bread wholemeal av w seeds|867|Lijnzaad|Linseeds|4,0
NEVO-Online 2021 7.0|2703|Brood volkoren- gem m diverse zaden|Bread wholemeal av w seeds|2806|Pompoenpitten|Pumpkin seeds|4,0
NEVO-Online 2021 7.0|2703|Brood volkoren- gem m diverse zaden|Bread wholemeal av w seeds|872|Zonnebloempitten|Sunflower seeds|4,0
NEVO-Online 2021 7.0|2704|Brood tarwe- m diverse zaden|Bread brown w seeds|236|Brood tarwe-|Bread brown wheat|88,0
NEVO-Online 2021 7.0|2704|Brood tarwe- m diverse zaden|Bread brown w seeds|867|Lijnzaad|Linseeds|4,0
